AGYSUB	LOC	AGELVL	EDLVL	GSEGRD	LOSLVL	OCC	PATCO	PPGRD	SALLVL	STEMOCC	SUPERVIS	TOA	WORKSCH	WORKSTAT	DATECODE	EMPLOYMENT	SALARY	LOS
AB00	51	I	8	13	H	301	2	GS-13	F	XXXX	2	10	F	1	199809	1	"$63,431 "	27.6
AB00	FR	K	4	13	G	1630	2	GS-13	F	XXXX	2	10	F	1	199809	1	"$60,871 "	24.2
AB00	51	H	18		D	301	2	ES-**	Z	XXXX	2	50	F	1	199809	1		5.8
AB00	51	F	13	12	F	510	1	GS-12	E	XXXX	2	10	F	1	199809	1	"$54,913 "	15.4
AB00	UK	J	4	8	E	1630	2	GS-08	C	XXXX	2	20	F	2	199809	1	"$31,045 "	10.8
AB00	FR	K	9	11	G	1630	2	GS-11	Z	XXXX	2	10	F	1	199809	1		24.9
AB00	MX	I	10	9	E	1630	2	GS-09	C	XXXX	2	20	F	2	199809	1	"$36,311 "	14.8
AB00	FR	I	9	13	F	1630	2	GS-13	E	XXXX	2	10	F	1	199809	1	"$55,654 "	17.1
AB00	FR	H	4	8	E	1630	2	GS-08	B	XXXX	8	20	F	2	199809	1	"$29,219 "	13.9
AB00	FR	I	4	9	E	1630	2	GS-09	C	XXXX	2	20	F	2	199809	1	"$35,302 "	11.8
AB00	PM	H	4	9	D	1630	2	GS-09	C	XXXX	2	20	F	2	199809	1	"$34,293 "	9.5
AB00	FR	J	13	11	H	1630	2	GS-11	D	XXXX	2	10	F	1	199809	1	"$41,489 "	25.9
AB00	NL	G	12	11	E	1630	2	GS-11	C	XXXX	2	20	F	2	199809	1	"$37,829 "	14.9
AB00	FR	H	10	10	D	1630	2	GS-10	C	XXXX	2	20	F	2	199809	1	"$35,542 "	7.9
AB00	BE	J	4	11	E	1630	2	GS-11	D	XXXX	2	10	F	1	199809	1	"$43,929 "	12.8
AB00	UK	F	4	6	A	1630	2	GS-06	B	XXXX	8	20	F	2	199809	1	"$22,258 "	0.4
AB00	51	J	6	11	F	341	2	GS-11	D	XXXX	8	10	F	1	199809	1	"$47,123 "	16.8
AB00	FR	I	4	8	E	1630	2	GS-08	C	XXXX	2	20	F	2	199809	1	"$31,045 "	10.3
AB00	FR	G	8	13	I	2003	2	GS-13	F	XXXX	2	10	F	1	199809	1	"$62,610 "	31.6
AB00	FR	K	8	9	F	1630	2	GS-09	C	XXXX	2	10	F	1	199809	1	"$36,311 "	16.7
AB00	FR	J	11	11	F	2010	2	GS-11	D	XXXX	2	20	F	2	199809	1	"$42,709 "	17.8
AB00	BE	H	11	11	H	1630	2	GS-11	D	XXXX	2	10	F	1	199809	1	"$46,369 "	26
AB00	FR	I	10	11	H	1630	2	GS-11	D	XXXX	2	10	F	1	199809	1	"$42,709 "	29.1
AB00	FR	J	14	11	G	1630	2	GS-11	D	XXXX	2	10	F	1	199809	1	"$46,369 "	24.3
AB00	FR	G	4	6	A	1630	2	GS-06	B	XXXX	6	20	F	2	199809	1	"$22,258 "	0.9
AB00	FR	J		11	D	1630	2	GS-11	C	XXXX	2	20	F	2	199809	1	"$39,049 "	8.8
AB00	IT	J	10	9	E	1630	2	GS-09	C	XXXX	2	20	F	2	199809	1	"$34,293 "	11.8
AB00	FR	I	17	12	E	334	2	GS-12	E	XXXX	2	20	F	2	199809	1	"$51,191 "	14
AB00	FR	G	4	11	D	1630	2	GS-11	C	XXXX	2	20	F	2	199809	1	"$37,829 "	9.4
AB00	FR	H	9	11	H	1630	2	GS-11	C	XXXX	8	20	F	2	199809	1	"$36,609 "	27.9
AC00	11	H	4		B	301	2	AD-00	Z	XXXX	8	48	I	2	199809	1		1
AC00	25	J	4		B	301	2	SR-00	A	XXXX	8	48	I	2	199809	1	"$13,044 "	1
AC00	42	H	4		B	301	2	AD-00	Z	XXXX	2	48	I	2	199809	1		1
AC00	36	J	4		B	301	2	SR-00	A	XXXX	2	48	I	2	199809	1	"$13,526 "	1
AC00	11	J	4		B	301	2	AD-00	Z	XXXX	2	48	I	2	199809	1		1
AC00	11	K	4		B	301	2	SR-00	Z	XXXX	2	48	I	2	199809	1		1
AC00	11	F	21		B	301	2	AD-00	G	XXXX	8	38	F	1	199809	1	"$71,715 "	1.3
AC00	11	J	4		B	301	2	AD-00	Z	XXXX	8	48	I	2	199809	1		1
AC00	11	F	4		B	301	2	SR-00	Z	XXXX	8	48	I	2	199809	1		1
AC00	47	H	4		B	301	2	AD-00	Z	XXXX	8	48	I	2	199809	1		1
AC00	17	K	4		C	301	2	SR-00	Z	XXXX	2	48	I	2	199809	1		4.9
AC00	20	J	4		B	301	2	SR-00	A	XXXX	8	48	I	2	199809	1	"$13,044 "	1
AC00	11	G	4		B	301	2	AD-00	Z	XXXX	2	48	I	2	199809	1		1
AC00	11	K	4		B	301	2	AD-00	Z	XXXX	8	48	I	2	199809	1		1
AC00	11	H	4		B	301	2	AD-00	Z	XXXX	2	48	I	2	199809	1		1
AC00	41	H	4		B	301	2	SR-00	Z	XXXX	8	48	I	2	199809	1		1
AC00	11	I	17		D	301	2	AD-00	J	XXXX	8	38	F	1	199809	1	"$108,200 "	5.3
AC00	11	G	4		B	301	2	AD-00	Z	XXXX	2	48	I	2	199809	1		1
AC00	11	F	4		C	301	2	AD-00	E	XXXX	8	38	F	1	199809	1	"$51,225 "	3.6
AD00	11	D	16	14	B	905	1	GS-14	F	XXXX	8	30	F	1	199809	1	"$66,138 "	2.1
AD00	11	G	17	14	D	130	1	GS-14	G	XXXX	8	10	F	1	199809	1	"$72,752 "	6.6
AD00	11	E	17	13	C	130	1	GS-13	F	XXXX	8	10	F	1	199809	1	"$61,565 "	3.3
AD00	11	J	21		G	130	1	ES-03	K	XXXX	2	50	F	1	199809	1	"$116,495 "	24.4
AD00	11	I	17	13	H	130	1	GS-13	G	XXXX	8	10	F	1	199809	1	"$72,758 "	27.9
AD00	11	K	4		C	130	1	EF-00	H	XXXX	8	48	I	2	199809	1	"$88,322 "	3.4
AD00	11	H	17	15	D	1301	1	GS-15	J	1301	8	10	F	1	199809	1	"$101,142 "	6.2
AD00	11	E	13	13	E	1102	1	GS-13	F	XXXX	2	10	F	1	199809	1	"$65,296 "	13.9
AD00	11	F	21	14	C	130	1	GS-14	F	XXXX	8	48	F	2	199809	1	"$68,343 "	4.7
AD00	11	J	21		B	130	1	EF-00	H	XXXX	8	48	I	2	199809	1	"$88,322 "	2.9
AD00	11	I	18		H	130	1	ES-05	L	XXXX	2	50	F	1	199809	1	"$125,900 "	28.9
AD00	11	E	13	15	E	1301	1	GS-15	H	1301	8	10	F	1	199809	1	"$85,579 "	13
AD00	11	D	15	14	C	905	1	GS-14	F	XXXX	8	30	F	1	199809	1	"$68,343 "	4.3
AD00	11	I	17	15	B	130	1	GS-15	H	XXXX	8	42	I	2	199809	1	"$88,173 "	2.9
AD00	11	G	18		D	130	1	ES-02	K	XXXX	2	55	F	1	199809	1	"$111,454 "	6.8
AD00	11	H	17	14	F	343	2	GS-14	G	XXXX	8	10	F	1	199809	1	"$79,365 "	19.8
AD00	11	I	21		D	130	1	EF-00	H	XXXX	8	48	I	2	199809	1	"$88,322 "	7.4
AD00	11	E	17	14	D	130	1	GS-14	G	XXXX	8	10	F	1	199809	1	"$72,752 "	6.1
AD00	11	K	17		C	1515	1	ED-00	I	1515	8	48	I	2	199809	1	"$94,291 "	3.6
AD00	11	I	13	15	H	80	2	GM-15	J	XXXX	2	10	F	1	199809	1	"$101,142 "	29.8
AD00	11	K	4		A	130	1	EF-00	H	XXXX	8	48	I	2	199809	1	"$88,322 "	0.9
AD00	11	G	17	13	F	560	2	GS-13	F	XXXX	8	10	F	1	199809	1	"$67,162 "	16.9
AD00	11	H	21		G	130	1	ES-04	L	XXXX	2	50	F	1	199809	1	"$122,824 "	20.9
AD00	11	H	21		C	1515	1	EF-00	H	1515	8	48	I	2	199809	1	"$88,322 "	4.2
AD00	11	D	15	15	D	905	1	GS-15	H	XXXX	8	30	F	1	199809	1	"$80,391 "	6.3
AD00	11	J	21		D	130	1	EF-00	H	XXXX	8	48	I	2	199809	1	"$88,322 "	6.3
AD00	11	F	4		C	1301	1	EF-00	H	1301	8	48	I	2	199809	1	"$88,322 "	3.4
AD00	11	K	4		B	130	1	ED-00	H	XXXX	8	48	I	2	199809	1	"$88,322 "	2.3
AD00	11	D	17	14	E	130	1	GS-14	F	XXXX	8	10	F	1	199809	1	"$68,343 "	10
AD00	11	K	17		E	905	1	ED-00	H	XXXX	8	48	I	2	199809	1	"$88,322 "	11.9
AD00	11	E	20	15	E	905	1	GS-15	H	XXXX	8	30	P	2	199809	1	"$80,391 "	10
AD00	11	G	17	12	A	130	1	GS-12	E	XXXX	8	15	F	1	199809	1	"$59,621 "	0.3
AD00	11	F	17	15	E	130	1	GS-15	J	XXXX	8	10	F	1	199809	1	"$101,142 "	13.2
AD00	11	K	21		B	1301	1	ED-00	H	1301	8	48	I	2	199809	1	"$88,322 "	2.7
AD00	11	E	13	13	E	1301	1	GS-13	F	1301	8	10	F	1	199809	1	"$63,431 "	12.8
AD00	11	I	17	13	D	80	2	GS-13	F	XXXX	8	20	F	2	199809	1	"$63,431 "	8.6
AD00	11	E	13	13	D	334	2	GS-13	E	XXXX	8	10	F	1	199809	1	"$57,835 "	9
AD00	11	H	21		H	130	1	ES-02	K	XXXX	2	60	F	2	199809	1	"$111,454 "	28.2
AD00	11	G	13	15	C	130	1	GS-15	H	XXXX	8	48	F	2	199809	1	"$85,579 "	4.6
AD00	11	F	17	15	B	130	1	GS-15	I	XXXX	8	42	F	2	199809	1	"$93,360 "	2.8
AD00	11	I	21		B	130	1	EF-00	H	XXXX	8	48	I	2	199809	1	"$88,322 "	1.3
AD00	11	H	18	14	D	1301	1	GS-14	G	1301	8	10	F	1	199809	1	"$74,956 "	8.2
AD00	11	K	4		B	130	1	EF-00	H	XXXX	8	48	I	2	199809	1	"$81,226 "	1.6
AD00	11	J	4		B	130	1	EF-00	H	XXXX	8	48	I	2	199809	1	"$88,322 "	1.2
AD00	11	K	4		A	130	1	EF-00	H	XXXX	8	48	I	2	199809	1	"$81,226 "	0.7
AD00	11	J	4		C	1301	1	EF-00	H	1301	8	48	I	2	199809	1	"$88,322 "	3.4
AD00	11	F	21	15	E	130	1	GS-15	H	XXXX	8	10	F	1	199809	1	"$88,173 "	11.6
AD00	11	J	8		D	1301	1	ED-00	I	1301	8	48	I	2	199809	1	"$94,291 "	6.8
AD00	11	F	17	14	B	130	1	GS-14	G	XXXX	8	42	F	2	199809	1	"$72,752 "	1.3
AD00	11	G	21		G	1301	1	ES-04	L	1301	2	60	F	2	199809	1	"$122,824 "	20.7
AD00	11	J	4		I	905	1	ED-00	H	XXXX	8	48	I	2	199809	1	"$88,322 "	32.5
AD00	11	D	15	12	C	130	1	GS-12	D	XXXX	8	10	F	1	199809	1	"$47,066 "	3
AD00	11	I	21		G	130	1	ES-04	L	XXXX	2	50	F	1	199809	1	"$122,824 "	22.5
AD00	11	F	14	14	B	130	1	GS-14	F	XXXX	8	15	F	1	199809	1	"$68,343 "	2.2
AD00	11	F	21	14	D	130	1	GS-14	F	XXXX	8	10	F	1	199809	1	"$68,343 "	5.1
AD00	11	D	4	13	C	130	1	GS-13	E	XXXX	8	10	F	1	199809	1	"$57,835 "	4.2
AD00	11	K	4		D	1515	1	ED-00	H	1515	8	48	I	2	199809	1	"$88,322 "	5.3
AD00	11	H	17	15	A	130	1	GS-15	G	XXXX	8	42	F	2	199809	1	"$77,798 "	0
AD00	11	I	21		G	130	1	ES-05	L	XXXX	2	50	F	1	199809	1	"$125,900 "	24.3
AD00	11	F	17		G	130	1	ES-01	J	XXXX	8	60	F	2	199809	1	"$106,412 "	22.3
AD00	11	D	17	11	C	130	1	GS-11	D	XXXX	8	44	F	2	199809	1	"$41,888 "	4.1
AD00	11	F	4		A	905	1	EF-00	H	XXXX	8	48	I	2	199809	1	"$86,590 "	0.4
AD00	11	K	21		I	1301	1	ST-00	J	1301	8	10	F	1	199809	1	"$109,798 "	34.9
AD00	11	G	17	15	B	130	1	GS-15	I	XXXX	8	48	F	2	199809	1	"$90,767 "	2.1
AD00	11	G	4	13	E	130	1	GS-13	E	XXXX	8	10	F	1	199809	1	"$55,969 "	13.9
AD00	11	E	17	13	C	130	1	GS-13	E	XXXX	8	10	F	1	199809	1	"$59,700 "	3.4
AD00	11	K	21		C	301	2	EX-03	L	XXXX	2	46	F	2	199809	1	"$125,900 "	4.1
AD00	11	F	13	14	F	1102	1	GS-14	G	XXXX	2	10	F	1	199809	1	"$72,752 "	15.6
AD00	11	K	14		D	1515	1	ED-00	H	1515	8	48	I	2	199809	1	"$88,322 "	5.8
AD00	11	J	21		G	1301	1	EF-00	H	1301	8	48	I	2	199809	1	"$88,322 "	21.7
AD00	11	G	4	12	H	343	2	GS-12	E	XXXX	8	10	F	1	199809	1	"$51,774 "	25.7
AD00	11	I	4		I	301	2	ES-03	K	XXXX	2	55	F	1	199809	1	"$116,495 "	30.3
AD00	11	J	4		B	1515	1	ED-00	H	1515	8	48	I	2	199809	1	"$88,322 "	1.8
AD00	11	G	13	14	B	132	2	GS-14	F	XXXX	8	42	F	2	199809	1	"$68,343 "	2.1
AD00	11	E	13	14	E	130	1	GS-14	G	XXXX	8	10	F	1	199809	1	"$74,956 "	11.3
AD00	11	G	16	15	F	905	1	GS-15	H	XXXX	8	30	F	1	199809	1	"$88,173 "	19.8
AD00	11	J	13	9	G	318	4	GS-09	C	XXXX	8	10	F	1	199809	1	"$38,951 "	21.3
AD00	11	J	21	13	G	130	1	GS-13	G	XXXX	8	10	F	1	199809	1	"$72,758 "	22.9
AD00	11	H	4		B	130	1	ED-00	H	XXXX	8	48	I	2	199809	1	"$88,322 "	1.7
AD00	11	C	17	9	A	130	1	GS-09	C	XXXX	2	15	F	1	199809	1	"$32,457 "	0
AD00	11	I	13	14	F	343	2	GM-14	H	XXXX	2	10	F	1	199809	1	"$81,569 "	18.4
AD00	11	G	17	13	G	1301	1	GS-13	G	1301	8	10	F	1	199809	1	"$70,893 "	22.1
AD00	11	F	10	13	G	201	2	GS-13	F	XXXX	8	10	F	1	199809	1	"$65,296 "	23.5
AD00	11	I	4	11	J	301	2	GS-11	E	XXXX	8	10	F	1	199809	1	"$51,049 "	37.3
AD00	11	E	4	12	F	201	2	GS-12	E	XXXX	8	10	F	1	199809	1	"$51,774 "	15.9
AD00	11	K	4		D	1301	1	ED-00	I	1301	8	48	I	2	199809	1	"$94,291 "	6.8
AD00	11	J	4	9	J	318	4	GS-09	D	XXXX	8	10	F	1	199809	1	"$42,198 "	42.3
AD00	11	K	17	14	D	130	1	GS-14	H	XXXX	8	10	F	1	199809	1	"$83,774 "	7.9
AD00	11	H	4	13	I	334	2	GS-13	E	XXXX	8	10	F	1	199809	1	"$59,700 "	34.1
AD00	11	E	4	7	F	318	4	GS-07	C	XXXX	8	10	F	1	199809	1	"$32,719 "	17.6
AD00	11	H	15	15	F	130	1	GS-15	I	XXXX	8	48	F	2	199809	1	"$95,954 "	19.3
AD00	11	D	13	13	D	130	1	GS-13	E	XXXX	8	10	F	1	199809	1	"$57,835 "	9.8
AD00	11	G	4	12	H	1035	2	GS-12	E	XXXX	8	10	F	1	199809	1	"$51,774 "	28.2
AD00	11	C	4	7	D	203	3	GS-07	B	XXXX	8	10	F	1	199809	1	"$29,184 "	7.7
AD00	11	B	4	4	A	326	4	GS-04	B	XXXX	8	42	F	2	199809	1	"$20,228 "	0.8
AD00	11	F	13	15	G	505	2	GM-15	I	XXXX	2	10	F	1	199809	1	"$98,016 "	24.1
AD00	11	C	14	12	C	130	1	GS-12	D	XXXX	8	10	F	1	199809	1	"$47,066 "	3.3
AD00	11	E	4	14	D	905	1	GS-14	F	XXXX	8	30	F	1	199809	1	"$68,343 "	8.3
AD00	11	H	10	12	H	1035	2	GS-12	E	XXXX	8	10	F	1	199809	1	"$59,621 "	29.6
AD00	11	C	13	11	D	1035	2	GS-11	C	XXXX	8	10	F	1	199809	1	"$39,270 "	7.8
AD00	11	C	13	9	D	301	2	GS-09	C	XXXX	8	10	F	1	199809	1	"$34,621 "	8.1
AD00	11	C	9	11	D	130	1	GS-11	C	XXXX	8	10	F	1	199809	1	"$39,270 "	6.7
AD00	11	C	4	9	D	342	2	GS-09	C	XXXX	8	10	F	1	199809	1	"$33,539 "	9
AD00	11	H	17		H	341	2	ES-05	Z	XXXX	2	50	F	1	199809	1		29.2
AD00	11	G	4	5	G	303	4	GS-05	B	XXXX	8	10	F	1	199809	1	"$27,961 "	23
AD00	11	C	4	11	D	905	1	GS-11	C	XXXX	8	30	F	1	199809	1	"$39,270 "	6
AD00	11	I	4	10	G	318	4	GS-10	C	XXXX	8	44	F	2	199809	1	"$39,318 "	23.9
AD00	11	H	13		H	1515	1	ES-02	K	1515	2	50	F	1	199809	1	"$111,454 "	27.3
AD00	11	D	12	7	E	318	4	GS-07	C	XXXX	8	10	F	1	199809	1	"$31,836 "	10.6
AD00	11	D	4	8	E	303	3	GS-08	C	XXXX	8	10	F	1	199809	1	"$33,302 "	11.7
AD00	11	D	4	9	E	342	2	GS-09	C	XXXX	8	10	F	1	199809	1	"$34,621 "	13.1
AD00	11	G	17	14	B	130	1	GS-14	Z	XXXX	8	42	F	2	199809	1		2
AD00	11	E	17	15	D	130	1	GS-15	H	XXXX	8	10	F	1	199809	1	"$85,579 "	9.3
AD00	11	G	13	13	G	130	1	GS-13	G	XXXX	8	10	F	1	199809	1	"$70,893 "	22.5
AD00	11	F	13	12	D	334	2	GS-12	E	XXXX	8	15	F	1	199809	1	"$59,621 "	6.3
AD00	11	I	13	15	I	132	2	GS-15	J	XXXX	8	10	F	1	199809	1	"$101,142 "	34.6
AD00	11	I	21		H	301	2	ES-05	L	XXXX	2	50	F	1	199809	1	"$125,900 "	26.9
AD00	11	F	13	14	E	334	2	GS-14	G	XXXX	8	10	F	1	199809	1	"$74,956 "	11.3
AD00	11	G	15		F	130	1	ES-04	L	XXXX	8	50	F	1	199809	1	"$122,824 "	17.3
AD00	11	D	15	14	C	905	1	GS-14	F	XXXX	8	30	F	1	199809	1	"$68,343 "	4.5
AD00	11	I	15		G	905	1	ES-06	L	XXXX	2	50	F	1	199809	1	"$125,900 "	21.9
AD00	11	G	4	15	H	201	2	GM-15	I	XXXX	5	10	F	1	199809	1	"$92,426 "	28.3
AD00	11	J	4		G	1102	1	EF-00	H	XXXX	4	48	F	2	199809	1	"$82,708 "	22.7
AD00	11	E	17	15	F	130	1	GS-15	H	XXXX	8	10	F	1	199809	1	"$85,579 "	15.1
AD00	11	D	4	9	E	318	4	GS-09	C	XXXX	8	10	F	1	199809	1	"$38,951 "	13.8
AD00	11	I	4	9	J	318	4	GS-09	D	XXXX	8	10	F	1	199809	1	"$42,198 "	37.7
AD00	11	F	13	9	D	342	2	GS-09	C	XXXX	8	10	F	1	199809	1	"$33,539 "	6.4
AD00	11	F	10	9	G	301	2	GS-09	D	XXXX	8	10	F	1	199809	1	"$40,033 "	23.1
AD00	11	E	4	13	D	110	1	GS-13	F	XXXX	8	10	F	1	199809	1	"$65,296 "	9.3
AD00	11	K	4		C	130	1	EF-00	H	XXXX	8	48	I	2	199809	1	"$88,322 "	4.7
AD00	11	D	18	14	D	130	1	GS-14	F	XXXX	8	10	F	1	199809	1	"$68,343 "	5.4
AD00	11	F	4	9	E	301	2	GS-09	C	XXXX	8	10	F	1	199809	1	"$34,621 "	14.2
AD00	11	F	13	10	G	318	4	GS-10	D	XXXX	8	38	F	1	199809	1	"$42,893 "	21.1
AD00	11	E	13	13	D	130	1	GS-13	F	XXXX	8	10	F	1	199809	1	"$61,565 "	8.9
AD00	11	F	15	15	F	905	1	GS-15	H	XXXX	8	30	F	1	199809	1	"$85,579 "	15.3
AD00	11	H	17	14	D	260	2	GS-14	G	XXXX	8	10	F	1	199809	1	"$70,547 "	8.9
AD00	11	H	17	15	D	301	2	GS-15	I	XXXX	8	48	F	2	199809	1	"$90,767 "	8.3
AD00	11	H	13	15	H	130	1	GS-15	I	XXXX	8	10	F	1	199809	1	"$90,767 "	26.8
AD00	11	G	17	15	H	130	1	GS-15	I	XXXX	8	42	F	2	199809	1	"$95,954 "	26.8
AD00	11	G	21	15	D	130	1	GS-15	H	XXXX	8	10	F	1	199809	1	"$85,579 "	9.1
AD00	11	G	21		C	1301	1	EF-00	G	1301	8	48	I	2	199809	1	"$79,306 "	4
AD00	11	G	4	14	A	130	1	GS-14	H	XXXX	8	42	F	2	199809	1	"$85,978 "	0.9
AD00	11	G	4		A	130	1	EF-00	H	XXXX	8	48	I	2	199809	1	"$83,480 "	0.5
AD00	11	E	21	13	C	1301	1	GS-13	E	1301	8	10	F	1	199809	1	"$59,700 "	4.3
AD00	11	K	21		C	1301	1	EF-00	H	1301	8	48	I	2	199809	1	"$88,322 "	4.1
AD00	11	G	17	14	B	1301	1	GS-14	H	1301	8	15	F	1	199809	1	"$81,569 "	1.4
AD00	11	E	17	14	C	301	2	GS-14	F	XXXX	8	44	F	2	199809	1	"$68,343 "	4.8
AD00	11	H	18	15	H	130	1	GS-15	I	XXXX	2	10	F	1	199809	1	"$98,548 "	28.5
AD00	11	K	4		B	1301	1	EF-00	I	1301	8	48	I	2	199809	1	"$94,291 "	1.7
AD00	11	I	4		B	130	1	EF-00	H	XXXX	8	48	I	2	199809	1	"$81,226 "	1.5
AD00	11	I	4	7	J	318	4	GS-07	C	XXXX	8	10	F	1	199809	1	"$34,487 "	36.3
AD00	11	I	17		D	130	1	ES-05	L	XXXX	2	50	F	1	199809	1	"$125,900 "	7.7
AD00	11	C	4	12	C	130	1	GS-12	D	XXXX	8	10	F	1	199809	1	"$47,066 "	4.9
AD00	11	K	4		B	1515	1	EF-00	H	1515	8	48	I	2	199809	1	"$88,322 "	2.8
AD00	11	D	13	14	E	130	1	GS-14	G	XXXX	8	10	F	1	199809	1	"$70,547 "	10.8
AD00	11	I	4		A	1301	1	EF-00	G	1301	8	48	I	2	199809	1	"$78,263 "	0.6
AD00	11	B	4	7	A	130	1	GS-07	B	XXXX	8	15	F	1	199809	1	"$26,532 "	0.7
AD00	11	H	21	14	D	1515	1	GS-14	H	1515	8	10	F	1	199809	1	"$81,569 "	5.1
AD00	11	K	21		B	1301	1	EF-00	H	1301	8	48	I	2	199809	1	"$88,322 "	2.6
AD00	11	E	4	7	F	318	4	GS-07	B	XXXX	8	10	F	1	199809	1	"$29,184 "	18.3
AD00	11	J	4	7	J	318	4	GS-07	C	XXXX	8	10	F	1	199809	1	"$34,487 "	35.2
AD00	11	E	21	14	D	1301	1	GS-14	G	1301	8	10	F	1	199809	1	"$72,752 "	5.2
AD00	11	J	4	13	B	1301	1	GS-13	G	1301	8	15	F	1	199809	1	"$72,758 "	1.3
AD00	11	H	4		A	130	1	EF-00	I	XXXX	8	48	I	2	199809	1	"$94,291 "	0.3
AD00	11	D	4	12	B	130	1	GS-12	D	XXXX	8	15	F	1	199809	1	"$47,066 "	1.1
AD00	11	G	15		C	130	1	EF-00	H	XXXX	8	48	I	2	199809	1	"$88,322 "	3.3
AD00	11	G	17		D	130	1	EF-00	H	XXXX	8	48	I	2	199809	1	"$84,338 "	6.3
AD00	11	I	13		H	130	1	ES-03	K	XXXX	2	50	F	1	199809	1	"$116,495 "	27.2
AD00	11	H	13	15	I	130	1	GS-15	H	XXXX	2	10	F	1	199809	1	"$85,579 "	31.8
AD00	11	H	17	14	H	130	1	GS-14	H	XXXX	8	10	F	1	199809	1	"$85,978 "	28.3
AD00	11	H	17	15	C	130	1	GS-15	J	XXXX	8	42	F	2	199809	1	"$101,142 "	3.2
AD00	11	I	17	15	G	130	1	GS-15	I	XXXX	8	10	F	1	199809	1	"$95,954 "	24.7
AD00	11	E	21	14	D	1301	1	GS-14	G	1301	8	10	F	1	199809	1	"$72,752 "	7.8
AD00	11	F	10	14	G	334	2	GM-14	H	XXXX	2	10	F	1	199809	1	"$82,676 "	20.3
AD00	11	C	4	7	D	2102	3	GS-07	C	XXXX	8	10	F	1	199809	1	"$30,952 "	9.5
AD00	11	H	4	9	H	318	4	GS-09	D	XXXX	8	10	F	1	199809	1	"$41,116 "	29.3
AD00	11	D	17	12	A	1301	1	GS-12	D	1301	8	42	F	2	199809	1	"$47,066 "	0.5
AD00	11	H	17	14	H	130	1	GS-14	H	XXXX	8	10	F	1	199809	1	"$85,978 "	28.1
AD00	SZ	J	13	14	F	341	2	GS-14	F	XXXX	2	20	F	2	199809	1	"$61,656 "	16.9
AD00	11	I	21		H	130	1	ES-03	K	XXXX	2	50	F	1	199809	1	"$116,495 "	27.1
AD00	11	H	17	13	H	201	2	GS-13	G	XXXX	8	10	F	1	199809	1	"$72,758 "	28.2
AD00	11	E	13	14	F	130	1	GS-14	G	XXXX	8	10	F	1	199809	1	"$74,956 "	17.9
AD00	11	K	4	9	J	318	4	GS-09	D	XXXX	8	10	F	1	199809	1	"$42,198 "	40.9
AD00	11	E	13	15	F	130	1	GS-15	I	XXXX	8	10	F	1	199809	1	"$93,360 "	16.3
AD00	11	I	4		I	130	1	ES-05	L	XXXX	2	50	F	1	199809	1	"$125,900 "	32.5
