AGYTYP,AGYTYPT,AGY,AGYT,AGYSUB,AGYSUBT
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF1C,AF1C-AIR COMBAT COMMAND
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF1G,AF1G-AIR FORCE LOGISTICS MANAGEMENT AGENCY
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF1L,AF1L-AIR MOBILITY COMMAND
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF1M,AF1M-AIR FORCE MATERIEL COMMAND
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF1Q,AF1Q-HQ AF FLIGHT STANDARDS AGENCY
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF1S,AF1S-SPACE COMMAND
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF1W,AF1W-AIR FORCE ENGINEERING AND SERVICES CENTER
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF27,AF27-AIR FORCE AGENCY FOR MODELING AND SIMULATION
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF28,AF28-AIR FORCE COMMUNICATION AND INFORMATION CENTER
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF29,AF29-AIR FORCE NATIONAL SECURITY EMERGENCY PREPAREDNESS
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2A,AF2A-AIR FORCE COST CENTER
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2B,AF2B-AIR FORCE DOCTRINE CENTER
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2C,AF2C-AIR FORCE CIVILIAN PERSONNEL MANAGEMENT CENTER
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2D,AF2D-AIR FORCE PERSONNEL OPERATIONS AGENCY
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2E,AF2E-AIR FORCE LEGAL SERVICES CENTER
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2F,AF2F-AIR FORCE MEDICAL SERVICES CENTER
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2G,AF2G-AIR FORCE SERVICE INFORMATION AND NEWS CENTER
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2H,AF2H-AIR FORCE COMBAT OPERATIONS STAFF
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2I,AF2I-AIR NATIONAL GUARD SUPPORT CENTER
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2K,AF2K-U.S. AIR FORCE HISTORICAL RESEARCH CENTER
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2M,AF2M-AIR FORCE REVIEW BOARDS OFFICE
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2N,AF2N-AIR FORCE CENTER FOR STUDIES AND ANALYSES
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2Q,AF2Q-AIR WEATHER SERVICE
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2R,AF2R-AIR FORCE PROGRAM EXECUTIVE OFFICE
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2S,AF2S-HQ NORAD
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2T,AF2T-AIR FORCE SUPPLY CENTER
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2U,"AF2U-AIR FORCE MORALE, WELFARE AND RECREATION CENTER"
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2V,AF2V-AIR FORCE DISPOSAL AGENCY
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2W,AF2W-AIR FORCE DISTRICT OF WASHINGTON
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2X,AF2X-AIR FORCE REAL ESTATE AGENCY
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2Y,AF2Y-AIR FORCE PENTAGON COMMUNICATIONS AGENCY
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2Z,AF2Z-HQ AIR FORCE MEDICAL OPERATIONS AGENCY
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF34,AF34-AIR NATIONAL GUARD UNITS (MOBILIZATION) (TITLE 5)
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3C,"AF3C-AIR FORCE ELEMENTS, U.S. CENTRAL COMMAND"
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3D,"AF3D-AIR FORCE ELEMENTS, U.S. SPECIAL OPERATIONS COMMAND"
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3G,"AF3G-AIR FORCE ELEMENTS, EUROPE"
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3L,AF3L-CENTER FOR AIR FORCE HISTORY
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3Q,"AF3Q-AIR FORCE ELEMENTS, U.S. STRATEGIC COMMAND"
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3S,"AF3S-HEADQUARTERS, U.S. SPACE COMMAND AND NORAD"
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3T,"AF3T-AIR FORCE ELEMENTS, U.S. TRANSPORTATION COMMAND"
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3V,"AF3V-AIR FORCE ELEMENTS, OTHER THAN EUROPE"
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3W,AF3W-AIR FORCE CENTER FOR ENVIRONMENTAL EXCELLENCE
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3Z,"AF3Z-JOINT SERVICES SURVIVAL, EVASION, RESISTANCE AND ESCAPE AGENCY"
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AFNG,AFNG-AIR NATIONAL GUARD UNITS (TITLE 32)
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AFZG,"AFZG-U.S. SPECIAL OPERATIONS COMMAND (ANG, TITLE 32)"
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AFZS,AFZS-U.S. SPECIAL OPERATIONS COMMAND (AIR FORCE)
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG**,AG**-UNSPECIFIED
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG01,AG01-OFFICE OF THE SECRETARY OF AGRICULTURE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG02,AG02-AGRICULTURAL MARKETING SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG03,AG03-AGRICULTURAL RESEARCH SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG07,AG07-RURAL HOUSING SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG08,AG08-RISK MANAGEMENT AGENCY
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG10,AG10-FOREIGN AGRICULTURAL SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG11,AG11-FOREST SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG13,AG13-OFFICE OF COMMUNICATIONS
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG14,AG14-OFFICE OF THE GENERAL COUNSEL
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG15,AG15-RURAL UTILITIES SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG16,AG16-NATURAL RESOURCES CONSERVATION SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG18,AG18-ECONOMIC RESEARCH SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG20,AG20-NATIONAL AGRICULTURAL STATISTICS SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG22,"AG22-COOPERATIVE STATE RESEARCH, EDUCATION, AND EXTENSION SERVICE"
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG23,AG23-OFFICE OF THE INSPECTOR GENERAL
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG30,AG30-FOOD AND NUTRITION SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG32,AG32-RURAL BUSINESS-COOPERATIVE SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG34,AG34-ANIMAL AND PLANT HEALTH INSPECTION SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG36,"AG36-GRAIN INSPECTION, PACKERS AND STOCKYARDS ADMINISTRATION"
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG37,AG37-FOOD SAFETY AND INSPECTION SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG38,AG38-OFFICE OF THE CHIEF ECONOMIST
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG42,AG42-OFFICE OF BUDGET AND PROGRAM ANALYSIS
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG90,AG90-OFFICE OF THE CHIEF FINANCIAL OFFICER
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG92,AG92-OFFICE OF THE ADMINISTRATIVE LAW JUDGE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG98,AG98-OFFICE OF OPERATIONS
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGAW,AGAW-ALTERNATIVE AGRICULTURAL RESEARCH AND COMMERCIALIZATION CENTER
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGCA,AGCA-BOARD OF CONTRACT APPEALS
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGDB,AGDB-OFFICE OF SMALL AND DISADVANTAGED BUSINESS UTILIZATION
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGDM,AGDM-DEPARTMENTAL ADMINISTRATION MANAGEMENT SERVICES STAFF
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGES,AGES-OFFICE OF THE EXECUTIVE SECRETARIAT
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGFA,AGFA-FARM SERVICE AGENCY
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGIT,AGIT-OFFICE OF THE CHIEF INFORMATION OFFICER
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGNA,AGNA-NATIONAL APPEALS DIVISION
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGPA,"AGPA-POLICY, ANALYSIS, AND COORDINATION CENTER"
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARAE,ARAE-ACQUISITION EXECUTIVE SUPPORT AGENCY
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARAS,ARAS-U.S. ARMY INTELLIGENCE AND SECURITY COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARAU,ARAU-U.S. ARMY AUDIT AGENCY
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARCB,ARCB-U.S. ARMY CRIMINAL INVESTIGATION COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARCE,ARCE-U.S. ARMY CORPS OF ENGINEERS (EXCEPT CIVIL PROGRAM FINANCING)
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARCS,ARCS-IMMEDIATE OFFICE OF THE CHIEF OF STAFF OF THE ARMY
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARCZ,ARCZ-U.S. ARMY INFORMATION SYSTEMS COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARE1,ARE1-IMMEDIATE OFFICE OF THE COMMANDER-IN-CHIEF OF THE U.S. ARMY EUROPE AND SEVENTH ARMY
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARE2,ARE2-21ST THEATER ARMY AREA COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARE3,ARE3-U.S. ARMY SOUTHERN EURPOEAN TASK FORCE
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARE5,ARE5-U.S. ARMY V CORPS
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,AREB,AREB-1ST PERSONNEL COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARED,"ARED-U.S. MILITARY COMMUNITY ACTIVITY, HEIDELBERG"
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,AREN,AREN-SEVENTH ARMY TRAINING COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARFC,ARFC-U.S. ARMY FORCES COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARGB,ARGB-OFFICE OF THE CHIEF OF THE NATIONAL GUARD BUREAU
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARHR,ARHR-U.S. ARMY RESERVE COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARHS,ARHS-U.S. ARMY HEALTH SERVICES COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARJ1,ARJ1-U.S. ARMY ELEMENT SHAPE
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARJA,ARJA-JOINT ACTIVITIES
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARMA,ARMA-U.S. MILITARY ACADEMY
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARMC,ARMC-U.S. ARMY MEDICAL COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARMP,ARMP-U.S. TOTAL ARMY PERSONNEL COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARMT,ARMT-MILITARY TRAFFIC MANAGEMENT COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARMW,ARMW-U.S. ARMY MILITARY DISTRICT OF WASHINGTON
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARNG,ARNG-ARMY NATIONAL GUARD UNITS (TITLE 32)
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARP1,"ARP1-U.S. ARMY, PACIFIC"
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARP8,ARP8-EIGHTH U.S. ARMY
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARPC,ARPC-MILITARY ENTRANCE PROCESSING COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARRC,ARRC-U.S. ARMY RECRUITING COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSA,ARSA-OFFICE OF THE SECRETARY OF THE ARMY
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSB,ARSB-FIELD OPERATING OFFICES OF THE OFFICE OF THE SECRETARY OF THE ARMY
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSC,ARSC-U.S. ARMY SPACE AND STRATEGIC DEFENSE COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSE,ARSE-FIELD OPERATING AGENCIES OF THE ARMY STAFF RESOURCED THROUGH OA-22
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSF,ARSF-FIELD OPERATING AGENCIES OF THE ARMY STAFF
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSJ,"ARSJ-JOINT SERVICES AND ACTIVITIES SUPPORTED BY THE OFFICE, SECRETARY OF THE ARMY"
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSP,ARSP-U.S. SPECIAL OPERATIONS COMMAND (ARMY)
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSS,"ARSS-STAFF SUPPORT AGENCIES OF THE CHIEF OF STAFF, ARMY"
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSU,ARSU-U.S. ARMY SOUTHERN COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARTC,ARTC-U.S. ARMY TRAINING AND DOCTRINE COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARX2,"ARX2-HEADQUARTERS, AMC"
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARX3,"ARX3-HEADQUARTERS, STAFF SUPPORT ACTIVITIES, AMC"
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARX4,"ARX4-TRAINING ACTIVITIES, AMC"
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARX5,"ARX5-U.S. ARMY MATERIEL COMMAND, ALL OTHERS"
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARX6,ARX6-U.S. ARMY MISSILE COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARX7,ARX7-U.S. ARMY TANK-AUTOMOTIVE AND ARMAMENT COMMAND (TACOM)
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARX8,ARX8-U.S. ARMY COMMUNICATIONS ELECTRONICS COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARX9,"ARX9-U.S. ARMY SIMULATION, TRAINING AND INSTRUMENTATION COMMAND"
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXA,ARXA-U.S. ARMY CHEMICAL AND BIOLOGICAL DEFENSE COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXB,ARXB-U.S. ARMY AVIATION AND TROOP COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXC,ARXC-U.S. ARMY SUSTAINMENT COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXD,ARXD-U.S. ARMY RESEARCH LABORATORY COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXK,ARXK-MATERIEL ACQUISITION ACTIVITIES
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXL,ARXL-MATERIEL ACQUISITION PROJECT MANAGERS
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXM,ARXM-U.S. ARMY TEST AND EVALUATION COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXP,ARXP-U.S. ARMY SECURITY ASSISTANCE COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXQ,ARXQ-U.S. ARMY INDUSTRIAL OPERATIONS COMMAND (IOC)
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXX,ARXX-MATERIEL READINESS ACTIVITIES
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM33,CM33-TECHNOLOGY ADMINISTRATION
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM51,CM51-OFFICE OF THE SECRETARY
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM52,CM52-ECONOMIC DEVELOPMENT ADMINISTRATION
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM53,CM53-BUREAU OF ECONOMIC ANALYSIS
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM54,CM54-NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM55,CM55-INTERNATIONAL TRADE ADMINISTRATION
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM56,CM56-PATENT AND TRADEMARK OFFICE
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM57,CM57-NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM59,CM59-MINORITY BUSINESS DEVELOPMENT AGENCY
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM61,CM61-NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM62,CM62-NATIONAL TECHNICAL INFORMATION SERVICE
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM63,CM63-BUREAU OF THE CENSUS
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM64,CM64-OFFICE OF THE INSPECTOR GENERAL
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM65,CM65-ECONOMIC AFFAIRS UNITS
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM67,CM67-BUREAU OF EXPORT ADMINISTRATION
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD**,DD**-UNSPECIFIED
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD01,DD01-IMMEDIATE OFFICE OF THE SECRETARY OF DEFENSE
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD02,DD02-ORGANIZATION OF THE JOINT CHIEFS OF STAFF
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD03,DD03-DEFENSE SPECIAL WEAPONS AGENCY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD04,DD04-DEFENSE INFORMATION SYSTEMS AGENCY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD06,DD06-DEFENSE SECURITY ASSISTANCE AGENCY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD07,DD07-DEFENSE LOGISTICS AGENCY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD08,DD08-U.S. COURT OF APPEALS FOR THE ARMED FORCES
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD09,DD09-AMERICAN FORCES INFORMATION SERVICE
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD10,DD10-DEFENSE CONTRACT AUDIT AGENCY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD12,DD12-DEFENSE SECURITY SERVICE
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD13,DD13-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD15,DD15-UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD16,DD16-DEPARTMENT OF DEFENSE EDUCATION ACTIVITY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD17,DD17-OFFICE OF THE CIVILIAN HEALTH AND MEDICAL PROGRAM OF THE UNIFORMED SERVICES
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD21,DD21-WASHINGTON HEADQUARTERS SERVICES
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD23,DD23-OFFICE OF ECONOMIC ADJUSTMENT
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD25,DD25-DEFENSE LEGAL SERVICES
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD26,DD26-OFFICE OF THE INSPECTOR GENERAL
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD27,DD27-BALLISTIC MISSILE DEFENSE ORGANIZATION
